,prdtypecode
10,1560
12,1281
17,2522
18,1140
31,40
33,2522
34,40
35,2060
47,40
51,2403
54,2403
81,1300
88,1280
92,1920
96,2403
98,1140
109,1160
112,2280
114,1302
117,2583
127,2280
128,1280
130,2583
136,1280
155,1160
158,1560
165,50
195,40
202,1280
210,2522
214,1280
219,1300
222,2280
225,1160
228,1160
229,1281
236,2403
237,1300
247,10
252,40
271,1560
279,1281
282,40
285,2280
286,2403
288,1160
300,10
302,2582
322,2705
324,2462
327,1280
330,1281
331,1280
335,10
339,2585
348,1300
349,1280
364,1140
366,2462
370,1140
381,1300
390,1140
396,1140
400,1281
402,1300
403,10
409,1140
416,2403
439,1280
442,1940
449,2462
456,2582
458,2403
476,40
484,1280
495,1280
517,2280
518,2280
540,1560
546,2403
552,1280
556,40
575,2582
578,2462
580,10
586,1160
588,1320
594,1280
601,1300
609,1280
612,1280
613,10
622,10
624,10
634,2522
649,2582
666,1180
667,1160
671,1920
678,1281
681,2280
683,2522
684,2403
686,1160
697,40
703,10
714,1560
719,2583
721,1180
733,1281
750,1160
755,1300
756,1280
765,2462
766,2280
776,50
780,2060
783,1280
786,2522
792,2060
810,1140
814,1160
816,2582
821,1300
827,2462
828,2582
834,1140
845,1280
858,1281
859,40
862,2582
868,1160
889,1140
892,2462
895,2280
899,2060
900,2462
901,1300
904,2060
909,1300
913,1281
916,1140
923,1160
924,2220
930,1281
936,2582
956,2582
965,1160
974,1300
981,2280
986,2220
999,1180
1011,50
1012,40
1031,1320
1032,1180
1033,1160
1034,50
1035,2403
1036,1160
1039,40
1051,1281
1053,10
1059,2522
1061,1160
1064,2280
1065,1140
1068,2705
1076,1160
1078,1560
1081,2522
1082,1300
1083,50
1088,2060
1089,1160
1094,1281
1119,50
1132,2905
1143,1560
1152,40
1169,40
1197,2280
1203,1280
1204,1280
1205,1300
1208,10
1213,2403
1214,1160
1218,10
1222,2905
1237,1160
1240,2280
1241,1280
1255,2582
1261,1160
1265,1300
1266,2462
1268,2403
1271,1300
1276,1280
1280,1140
1286,1140
1290,2220
1296,40
1299,1140
1301,2280
1302,1140
1324,1940
1326,1140
1330,1560
1343,1280
1345,2403
1346,2582
1354,2403
1361,1920
1362,1280
1370,1301
1375,2705
1380,1300
1389,2582
1391,1280
1407,1160
1411,1160
1413,2280
1425,1280
1437,1140
1443,2462
1450,1140
1459,2280
1462,10
1464,2462
1466,1560
1479,1300
1490,2403
1494,2705
1499,1160
1516,1160
1520,1180
1521,50
1531,1300
1536,1160
1542,1140
1547,50
1555,40
1566,10
1572,2280
1574,1160
1584,2462
1591,10
1621,1280
1639,1280
1666,10
1668,1140
1679,2403
1682,60
1697,1180
1706,1302
1727,1280
1736,2403
1751,1140
1754,1140
1758,2582
1763,50
1766,10
1768,1320
1777,1280
1794,1560
1808,1302
1811,1920
1815,1281
1818,40
1822,1300
1830,2582
1837,2403
1844,1180
1848,60
1854,2705
1869,1160
1875,1280
1876,2220
1880,40
1902,2403
1904,1160
1908,2403
1916,1302
1917,2582
1924,2905
1926,2280
1928,1280
1929,2583
1937,1160
1943,2705
1957,1180
1968,2582
1971,1180
1972,2060
1977,40
1979,1300
1983,1281
2006,10
2021,1560
2025,2403
2041,2522
2047,10
2052,2522
2058,10
2085,1300
2087,1280
2101,1180
2109,1280
2119,1560
2120,60
2128,2522
2131,2403
2142,2583
2143,1300
2155,1300
2159,40
2162,2522
2165,2403
2172,50
2190,1320
2200,1140
2207,2905
2208,1281
2221,1140
2224,1160
2225,40
2232,2582
2240,2522
2242,50
2246,1140
2274,2522
2275,1920
2277,40
2286,2060
